"Stock Number","Population Name","Year","Abundance Quantity","Production Type","Calculation Type","Report Types"
1623,"Salmon Creek - fall Chinook salmon",NA,NA,"Natural",NA,"SCoRE,SOS"
9992,"Tilton River - spring Chinook salmon",NA,NA,"Natural",NA,"SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2010,227,"Natural","Expanded","SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2011,198,"Natural","Expanded","SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2012,235,"Natural","Expanded","SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2013,914,"Natural","Expanded","SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2014,403,"Natural","Expanded","SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2015,374,"Natural","Expanded","SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2016,367,"Natural","Expanded","SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2017,312,"Natural","Expanded","SCoRE,SOS"
1577,"Toutle River - fall Chinook salmon",2018,138,"Natural","Expanded","SCoRE,SOS"
9993,"Toutle River - spring Chinook salmon",NA,NA,"Natural",NA,"SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2010,2104,"Natural","Expanded","SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2011,4264,"Natural","Expanded","SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2012,1948,"Natural","Expanded","SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2013,3273,"Natural","Expanded","SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2014,2259,"Natural","Expanded","SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2015,3375,"Natural","Expanded","SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2016,3064,"Natural","Expanded","SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2017,1494,"Natural","Expanded","SCoRE,SOS"
1558,"Upper Cowlitz River - fall Chinook salmon",2018,622,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2010,286,"Natural","Expanded","SCoRE,SOS"
