"ESU_DPS","COMMONPOPNAME2","final_abundance_data_type","minyr","maxyr"
"Salmon, coho (Lower Columbia River ESU)","Lower Gorge Tributaries - late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","Mill, Abernathy, and Germany Creeks - late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","North Fork Lewis River - early and late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","North Fork Toutle River - early and late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","Salmon Creek - late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","South Fork Toutle River - early and late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","Tilton River - early and late Coho salmon","NOSAEJ",2005,2023
"Salmon, coho (Lower Columbia River ESU)","Upper Cowlitz River - early and late Coho salmon","NOSAEJ",2005,2023
"Salmon, coho (Lower Columbia River ESU)","Washougal River - late Coho salmon","NOSAEJ",2010,2023
"Salmon, sockeye (Ozette Lake ESU)","Ozette Lake - sockeye salmon","TSAIJ",1999,2019
"Steelhead (Lower Columbia River DPS)","Coweeman River - winter Steelhead","TSAEJ",1998,2023
"Steelhead (Lower Columbia River DPS)","East Fork Lewis River - summer Steelhead","NOSAIJ",1998,2022
"Steelhead (Lower Columbia River DPS)","East Fork Lewis River - winter Steelhead","TSAEJ",1998,2023
"Steelhead (Lower Columbia River DPS)","Kalama River - summer Steelhead","NOSAIJ",1998,2024
"Steelhead (Lower Columbia River DPS)","Kalama River - winter Steelhead","NOSAEJ",2007,2024
"Steelhead (Lower Columbia River DPS)","Lower Cowlitz River - winter Steelhead","NOSAEJ",2013,2022
"Steelhead (Lower Columbia River DPS)","Lower Gorge Tributaries - winter Steelhead","TSAEJ",2013,2022
"Steelhead (Lower Columbia River DPS)","North Fork Toutle River - winter Steelhead","TSAEJ",1998,2022
"Steelhead (Lower Columbia River DPS)","South Fork Toutle River - winter Steelhead","TSAEJ",1998,2023
"Steelhead (Lower Columbia River DPS)","Tilton River - winter Steelhead","NOSAEJ",1999,2023
"Steelhead (Lower Columbia River DPS)","Upper Cowlitz River - winter Steelhead","NOSAEJ",1998,2023
"Steelhead (Lower Columbia River DPS)","Upper Gorge Tributaries - winter Steelhead","NOSAEJ",2000,2023
"Steelhead (Lower Columbia River DPS)","Washougal River - summer Steelhead","NOSAIJ",1998,2022
"Steelhead (Lower Columbia River DPS)","Washougal River - winter Steelhead","TSAEJ",1998,2023
"Steelhead (Lower Columbia River DPS)","Wind River - summer Steelhead","NOSAEJ",1998,2023
"Steelhead (Middle Columbia River DPS)","Klickitat River - summer and winter Steelhead","NOSAIJ",2006,2024
"Steelhead (Middle Columbia River DPS)","Naches River - summer Steelhead","NOSAIJ",1999,2023
"Steelhead (Middle Columbia River DPS)","Rock Creek - summer Steelhead","NOSAIJ",2011,2019
"Steelhead (Middle Columbia River DPS)","Satus Creek - summer Steelhead","NOSAIJ",1999,2023
"Steelhead (Middle Columbia River DPS)","Toppenish Creek - summer Steelhead","NOSAIJ",1999,2023
"Steelhead (Middle Columbia River DPS)","Touchet River - summer Steelhead","NOSAIJ",1999,2023
"Steelhead (Middle Columbia River DPS)","Walla Walla River - summer Steelhead","NOSAIJ",1999,2020
"Steelhead (Middle Columbia River DPS)","Yakima River Upper Mainstem - summer Steelhead","NOSAIJ",1999,2023
"Steelhead (Puget Sound DPS)","Dungeness River - summer and winter Steelhead","TSAIJ",2011,2023
"Steelhead (Puget Sound DPS)","Elwha River - winter Steelhead","NOSAIJ",2019,2023
"Steelhead (Puget Sound DPS)","Nisqually River - winter Steelhead","NOSAIJ",2007,2023
"Steelhead (Puget Sound DPS)","Nooksack River - winter Steelhead","NOSAIJ",2010,2022
"Steelhead (Puget Sound DPS)","Pilchuck River - winter Steelhead","TSAIJ",2007,2024
"Steelhead (Puget Sound DPS)","Samish River and Bellingham Bay Tributaries - winter Steelhead","TSAIJ",2007,2023
"Steelhead (Puget Sound DPS)","Skagit River - summer and winter Steelhead","TSAIJ",2007,2022
"Steelhead (Puget Sound DPS)","Snohomish/Skykomish Rivers - winter Steelhead","TSAIJ",2010,2024
"Steelhead (Puget Sound DPS)","Snoqualmie River - winter Steelhead","TSAIJ",2007,2024
"Steelhead (Puget Sound DPS)","South Hood Canal Tributaries - winter Steelhead","TSAEJ",2007,2023
"Steelhead (Puget Sound DPS)","Tolt River - summer Steelhead","TSAIJ",2007,2024
"Steelhead (Puget Sound DPS)","White River - winter Steelhead","NOSAIJ",2007,2024
"Steelhead (Snake River Basin DPS)","Joseph Creek - summer Steelhead","NOSAIJ",2011,2023
"Steelhead (Snake River Basin DPS)","Tucannon River - summer Steelhead","NOSAIJ",2010,2023
"Steelhead (Upper Columbia River DPS)","Entiat River - summer Steelhead","NOSAIJ",1997,2023
"Steelhead (Upper Columbia River DPS)","Methow River - summer Steelhead","NOSAIJ",1997,2023
"Steelhead (Upper Columbia River DPS)","Okanogan River - summer Steelhead","NOSAIJ",1997,2023
"Steelhead (Upper Columbia River DPS)","Wenatchee River - summer Steelhead","NOSAIJ",1997,2023
