"ESU_DPS","ESU_DPS_COMMONNAME","MAJORPOPGROUP","COMMONPOPNAME2","COMMONNAME","RUN","WATERBODY","SPAWNINGYEAR","final_abundance","final_abundance_data_type","METHODNUMBER","dsid"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2009,225,"NOSAEJ",1,"a97d9b61-72a3-44ec-90bd-f302c4fda825"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2010,75,"NOSAEJ",1,"919531ba-c858-4f68-b71b-171bf4513e5b"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2011,78,"NOSAEJ",1,"919531ba-c858-4f68-b71b-171bf4513e5b"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2012,33,"NOSAEJ",1,"919531ba-c858-4f68-b71b-171bf4513e5b"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2013,241,"NOSAEJ",1,"919531ba-c858-4f68-b71b-171bf4513e5b"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2014,229,"NOSAEJ",1,"919531ba-c858-4f68-b71b-171bf4513e5b"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2015,138,"NOSAEJ",1,"919531ba-c858-4f68-b71b-171bf4513e5b"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2016,87,"NOSAEJ",1,"919531ba-c858-4f68-b71b-171bf4513e5b"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2017,254,"NOSAEJ",1,"919531ba-c858-4f68-b71b-171bf4513e5b"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2018,140,"NOSAEJ",1,"69242dcd-c729-4d68-ac69-d35724fda234"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2019,99,"NOSAEJ",1,"69242dcd-c729-4d68-ac69-d35724fda234"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2020,153,"NOSAEJ",1,"69242dcd-c729-4d68-ac69-d35724fda234"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2021,118,"NOSAEJ",1,"69242dcd-c729-4d68-ac69-d35724fda234"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2022,71,"NOSAEJ",1,"69242dcd-c729-4d68-ac69-d35724fda234"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2023,218,"NOSAEJ",1,"69242dcd-c729-4d68-ac69-d35724fda234"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2024,205,"NOSAEJ",1,"69242dcd-c729-4d68-ac69-d35724fda234"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2025,197,"NOSAEJ",1,"69242dcd-c729-4d68-ac69-d35724fda234"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2010,820,"NOSAEJ",1,"95057fdc-2711-4002-b60b-cf1bdda7e464"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2011,674,"NOSAEJ",1,"95057fdc-2711-4002-b60b-cf1bdda7e464"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2012,649,"NOSAEJ",1,"95057fdc-2711-4002-b60b-cf1bdda7e464"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2013,1522,"NOSAEJ",1,"95057fdc-2711-4002-b60b-cf1bdda7e464"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2014,1320,"NOSAEJ",1,"95057fdc-2711-4002-b60b-cf1bdda7e464"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2015,3117,"NOSAEJ",1,"95057fdc-2711-4002-b60b-cf1bdda7e464"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2016,2661,"NOSAEJ",1,"95057fdc-2711-4002-b60b-cf1bdda7e464"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2017,1892,"NOSAEJ",1,"95057fdc-2711-4002-b60b-cf1bdda7e464"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2018,1523,"NOSAEJ",1,"e7f330d8-63b3-45ce-ab1f-77be337963ca"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2019,1431,"NOSAEJ",1,"e7f330d8-63b3-45ce-ab1f-77be337963ca"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2020,2665,"NOSAEJ",1,"e7f330d8-63b3-45ce-ab1f-77be337963ca"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2021,1942,"NOSAEJ",1,"e7f330d8-63b3-45ce-ab1f-77be337963ca"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2022,2374,"NOSAEJ",1,"e7f330d8-63b3-45ce-ab1f-77be337963ca"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2023,2205,"NOSAEJ",1,"e7f330d8-63b3-45ce-ab1f-77be337963ca"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2024,2939,"NOSAEJ",1,"e7f330d8-63b3-45ce-ab1f-77be337963ca"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2025,2698,"NOSAEJ",1,"e7f330d8-63b3-45ce-ab1f-77be337963ca"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2007,37,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2008,59,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2009,80,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2010,46,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2011,172,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2012,83,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2013,91,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2014,36,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2015,27,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2016,30,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2017,62,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
