ESU_DPS,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,POPFIT,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2005,304,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2006,293,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2007,146,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2008,86,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2009,71,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2010,76,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2011,83,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2012,212,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2013,46,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2014,21,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2015,65,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2016,135,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2017,149,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2018,127,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Dungeness River - summer Chinook salmon,Chinook,-,same,-,2019,173,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2009,14,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2010,33,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2011,26,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2012,141,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2013,105,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2014,96,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2015,165,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2016,85,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2017,70,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2018,95,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Elwha River - fall Chinook salmon,Chinook,-,same,-,2019,212,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2000,576,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2001,1103,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2002,910,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2003,1493,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2004,443,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2005,875,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2006,1095,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2007,383,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2008,538,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2009,250,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2010,356,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2011,210,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2012,715,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2013,530,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2014,364,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2015,406,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2016,1044,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2017,1001,1,-99,-99,-99,-99,-99,-99,-99,-99
