SASI_STOCK_NUM,SASISTOCKNAME,COMMONNAME,RUN,RECOVERYDOMAIN,MAJORPOPGROUP,POPID,ESAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,ESTIMATETYPE,WATERBODY,SPAWNINGYEAR,METHODNUMBER,BESTVALUE,NOSAIJ,NOSAIJ_SDSID,NOSAIJLOWERLIMIT,NOSAIJUPPERLIMIT,NOSAIJALPHA,NOSAEJ,NOSAEJ_SDSID,NOSAEJLOWERLIMIT,NOSAEJUPPERLIMIT,NOSAEJALPHA,PHOSIJ,PHOSIJLOWERLIMIT,PHOSIJUPPERLIMIT,PHOSIJALPHA,PHOSEJ,PHOSEJLOWERLIMIT,PHOSEJUPPERLIMIT,PHOSEJALPHA,TSAIJ,TSAIJ_SDSID,TSAIJLOWERLIMIT,TSAIJUPPERLIMIT,TSAIJALPHA,TSAEJ,TSAEJ_SDSID,TSAEJLOWERLIMIT,TSAEJUPPERLIMIT,TSAEJALPHA,AGE2PROP,AGE2PROPLOWERLIMIT,AGE2PROPUPPERLIMIT,AGE3PROP,AGE3PROPLOWERLIMIT,AGE3PROPUPPERLIMIT,AGE4PROP,AGE4PROPLOWERLIMIT,AGE4PROPUPPERLIMIT,AGE5PROP,AGE5PROPLOWERLIMIT,AGE5PROPUPPERLIMIT,AGE6PROP,AGE6PROPLOWERLIMIT,AGE6PROPUPPERLIMIT,AGE7PROP,AGE7PROPLOWERLIMIT,AGE7PROPUPPERLIMIT,AGE8PROP,AGE8PROPLOWERLIMIT,AGE8PROPUPPERLIMIT,AGE9PROP,AGE9PROPLOWERLIMIT,AGE9PROPUPPERLIMIT,AGE10PROP,AGE10PROPLOWERLIMIT,AGE10PROPUPPERLIMIT,AGE11PLUSPROP,AGE11PLUSPROPLOWERLIMIT,AGE11PLUSPROPUPPERLIMIT,AGEPROPALPHA,OTHERDATASOURCES,COMMENTS,DATASTATUS,STOCK_ID,COMMONPOPNAME2,ESU_DPS
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2020,,Yes,16268,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16268,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2021,,Yes,34039,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34039,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2022,,Yes,7830,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7830,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2023,,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Skagit River - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Skagit River - fall Coho Salmon,Same,NA,NOSA,,2000,,Yes,58100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Skagit River - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Skagit River - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Skagit River - fall Coho Salmon,Same,NA,NOSA,,2001,,Yes,80442,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80442,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Skagit River - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Skagit River - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Skagit River - fall Coho Salmon,Same,NA,NOSA,,2002,,Yes,41548,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41548,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Skagit River - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Skagit River - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Skagit River - fall Coho Salmon,Same,NA,NOSA,,2003,,Yes,72710,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72710,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Skagit River - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Skagit River - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Skagit River - fall Coho Salmon,Same,NA,NOSA,,2004,,Yes,136054,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136054,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Skagit River - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Skagit River - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Skagit River - fall Coho Salmon,Same,NA,NOSA,,2005,,Yes,24830,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24830,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Skagit River - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
